"User","Start","End","FirstChapter","LastChapter","Days","Dead","Late","Delay"
"Alia-Jevs",10-04-13,10-04-13,15,15,0,TRUE,FALSE,2
"aliard",10-03-20,10-03-20,1,1,0,TRUE,FALSE,0
"Alias the Jester",11-01-04,11-08-26,64,73,234,TRUE,TRUE,4
"alibabaandrobbers",11-04-08,11-04-08,71,71,0,TRUE,TRUE,52
"Alice",12-07-25,13-04-14,5,6,263,TRUE,TRUE,6
"Alice Hell",10-06-22,10-06-22,26,26,0,TRUE,FALSE,11
"Alice Rose Winter",11-02-20,11-02-20,29,33,0,TRUE,TRUE,1
"Alice Thane",11-10-01,11-10-01,33,33,0,TRUE,TRUE,1
"alichi",10-03-19,10-04-03,6,10,15,TRUE,FALSE,4
"Alicia",10-09-23,11-01-28,46,69,127,TRUE,FALSE,25
"Alicia Spinnet",12-07-30,12-07-30,1,1,0,TRUE,TRUE,0
"alienchangeling",12-05-29,12-05-29,85,85,0,FALSE,TRUE,243
"AlienTourist",13-03-16,13-03-16,5,5,0,TRUE,TRUE,9
"AliS256",10-07-27,10-08-26,32,41,30,TRUE,FALSE,1
"Ali Sara Card",11-05-18,11-05-26,2,71,8,TRUE,TRUE,52
"A little less wrong",10-10-03,11-06-18,47,72,258,TRUE,FALSE,89
"alivenkickin",12-03-22,12-03-22,80,80,0,TRUE,TRUE,5
"Alixe",10-03-10,10-03-10,5,5,0,TRUE,FALSE,9
"aliza",11-02-27,11-02-27,70,70,0,TRUE,TRUE,42
"Allebasii",12-11-14,12-11-14,24,24,0,TRUE,TRUE,2
"Allen Pitt",10-03-09,10-09-08,5,46,183,TRUE,FALSE,20
"all forms of fluff",12-01-03,12-01-03,77,77,0,TRUE,TRUE,187
"Alli",10-06-18,10-06-18,7,7,0,TRUE,FALSE,3
"alli",10-08-26,10-08-26,41,41,0,TRUE,FALSE,1
"alliekiwi",11-08-28,11-08-28,2,2,0,TRUE,TRUE,1
"Allie Knight",12-12-02,12-12-02,5,5,0,TRUE,TRUE,9
"AllieOfGreenGables",10-10-29,10-11-29,54,63,31,TRUE,FALSE,36
"Allison",10-10-03,11-05-04,1,71,213,TRUE,FALSE,52
"Allison Short 'n Sweet",11-02-22,11-02-22,2,2,0,TRUE,TRUE,1
"AlloraSara132",11-02-28,11-02-28,70,70,0,TRUE,TRUE,42
"Alloysius",11-08-30,11-08-30,74,74,0,TRUE,TRUE,3
"Alltaros",12-04-26,12-04-26,41,41,0,TRUE,TRUE,1
"all the happy memories",11-01-15,11-01-15,66,66,0,TRUE,TRUE,0
"allyalai",12-03-15,12-03-15,79,79,0,TRUE,TRUE,7
"AllyrienDM",10-10-23,11-01-30,32,69,99,TRUE,FALSE,25
"Allythizelibe",10-03-08,10-03-08,5,5,0,TRUE,FALSE,9
"Alma Gloriosa",12-02-29,12-03-02,14,19,2,TRUE,TRUE,2
"Almaseti",10-09-06,11-09-07,46,77,366,TRUE,FALSE,187
"AlmightyHann",12-07-06,12-07-06,85,85,0,FALSE,TRUE,243
"Almost killed here",10-03-14,10-03-14,5,5,0,TRUE,FALSE,9
"Alo Amicus",10-04-24,10-06-29,17,27,66,TRUE,FALSE,7
"aloavi",10-03-20,10-03-20,6,6,0,TRUE,FALSE,6
"a-logged-out Runt the Brave",12-03-12,12-03-12,78,78,0,TRUE,TRUE,4
"Alohamora",11-09-01,11-09-01,75,75,0,TRUE,TRUE,3
"aloneinmyhead",10-12-13,10-12-13,35,35,0,TRUE,TRUE,0
"Aloony",10-04-26,10-04-26,17,17,0,TRUE,FALSE,8
"Aloril",10-06-13,11-05-01,25,26,322,TRUE,FALSE,11
"alotofletters",13-05-02,13-05-02,24,24,0,TRUE,TRUE,2
"Alotua",10-05-07,10-05-07,2,2,0,TRUE,FALSE,1
"AlpacaOverlord",12-12-21,12-12-21,87,87,0,FALSE,TRUE,NA
"AlphaChica",10-03-10,10-03-10,5,5,0,TRUE,FALSE,9
"alphamule",12-07-10,12-07-10,51,51,0,TRUE,TRUE,1
"Alpha Werewolf",11-02-15,11-02-15,27,27,0,TRUE,TRUE,7
"Alpheus",11-05-24,11-05-24,71,71,0,TRUE,TRUE,52
"Alphonse",12-04-04,12-04-05,82,83,1,FALSE,TRUE,6
"AlpineBob",10-09-12,11-09-07,30,77,360,TRUE,FALSE,187
"Alratan",10-10-08,11-06-12,48,72,247,TRUE,FALSE,89
"Alrissa",10-03-12,11-06-12,5,64,457,TRUE,FALSE,0
"Alsadius",11-08-31,11-09-03,75,76,3,TRUE,TRUE,3
"Alterego",12-12-22,12-12-22,72,72,0,TRUE,TRUE,89
"Altyerre",10-03-09,10-03-09,5,5,0,TRUE,FALSE,9
"AlwaysInADream",10-11-20,12-12-21,60,87,762,FALSE,FALSE,NA
"always-kh",12-03-28,12-04-04,81,83,7,FALSE,TRUE,6
"Always-Underrated",10-05-31,10-06-27,11,27,27,TRUE,FALSE,7
"Alwendil",10-11-23,10-11-24,13,19,1,TRUE,FALSE,2
"Aly",11-05-08,11-05-11,12,27,3,TRUE,TRUE,7
"aly",11-05-06,11-05-06,10,10,0,TRUE,TRUE,4
"Aly of Ravenclaw",12-09-04,12-09-04,1,5,0,TRUE,TRUE,9
"Alyssa1432",11-11-20,11-11-20,5,6,0,TRUE,TRUE,6
"Alyxe",11-09-04,11-09-04,76,76,0,TRUE,TRUE,3
"AM",10-10-11,10-10-11,5,5,0,TRUE,FALSE,9
"am3liapond",12-10-13,12-10-13,5,5,0,TRUE,TRUE,9
"AmagicalFishy",11-06-03,11-06-03,72,72,0,TRUE,TRUE,89
"Amalie",12-12-21,12-12-21,87,87,0,FALSE,TRUE,NA
"amalin06",10-03-11,10-04-02,5,9,22,TRUE,FALSE,3
"AMAMAMAM",10-09-25,10-09-25,47,47,0,TRUE,FALSE,10
"Amanatsu Amaranth",11-08-10,11-08-10,3,3,0,TRUE,TRUE,2
"AmandaMau",11-11-22,11-11-22,77,77,0,TRUE,TRUE,187
"Amanda-Rae 1019",10-04-12,10-04-12,15,15,0,TRUE,FALSE,2
"Amaranthine29",10-07-30,10-07-30,32,32,0,TRUE,FALSE,6
"Amarthiel",10-04-26,10-04-26,17,17,0,TRUE,FALSE,8
"AmayaSora",10-12-14,10-12-14,11,5,0,TRUE,TRUE,9
"Amazar",10-11-09,10-11-09,58,58,0,TRUE,FALSE,13
"Amazed",10-10-23,10-10-23,2,2,0,TRUE,FALSE,1
"Amazing",13-03-21,13-03-21,87,87,0,FALSE,TRUE,NA
"AmazonianTheifEss",10-03-10,10-03-10,5,5,0,TRUE,FALSE,9
"Ambrozy",10-10-17,10-10-23,50,51,6,TRUE,FALSE,1
"amc",12-03-23,12-03-23,80,80,0,TRUE,TRUE,5
"A Merry Savant",12-03-25,12-03-25,80,80,0,TRUE,TRUE,5
"Amethyst Pheonix",10-12-19,10-12-19,63,63,0,TRUE,TRUE,36
"Ami3vaYah3Dyn",10-06-16,10-11-27,1,62,164,TRUE,FALSE,1
"A Midsummer Night's Dreams",10-12-31,10-12-31,11,6,0,TRUE,TRUE,6
"Amin",10-04-07,10-04-07,11,11,0,TRUE,FALSE,1
"aminf",10-03-10,10-03-10,5,5,0,TRUE,FALSE,9
"ammonalkaios",11-03-26,11-03-27,22,30,1,TRUE,TRUE,0
"ammybah",10-03-26,10-03-27,8,7,1,TRUE,FALSE,3
"AmourXSexXetXYaoi",10-06-21,10-06-21,24,24,0,TRUE,FALSE,2
"Amoz",11-01-18,11-02-13,1,69,26,TRUE,TRUE,25
"Amphlosion",11-01-17,12-04-10,18,84,449,FALSE,TRUE,7
"Amu52",12-05-02,12-05-02,11,11,0,TRUE,TRUE,1
"amusewithaview",10-04-05,10-04-05,10,10,0,TRUE,FALSE,4
"Amusing Name",10-06-26,10-09-08,27,46,74,TRUE,FALSE,20
"amy01",10-09-26,10-10-23,47,51,27,TRUE,FALSE,1
"Amy",12-01-19,12-01-19,77,77,0,TRUE,TRUE,187
"Amy-chan123",11-07-08,11-07-08,24,24,0,TRUE,TRUE,2
"Amy Quinn",12-01-01,12-01-01,77,77,0,TRUE,TRUE,187
"Amy villarreal",11-05-28,11-05-28,20,20,0,TRUE,TRUE,7
"Amy Virtue",13-01-22,13-01-22,62,62,0,TRUE,TRUE,1
"A.N",11-03-25,11-03-25,1,1,0,TRUE,TRUE,0
"Anaerobie",10-03-23,10-04-01,7,9,9,TRUE,FALSE,3
"Anamorphus",12-03-23,12-04-18,80,85,26,FALSE,TRUE,243
"an annoyed reader",11-10-14,11-10-14,2,2,0,TRUE,TRUE,1
"anaraz",11-01-01,11-04-07,5,47,96,TRUE,TRUE,10
"AnaRola",11-05-24,12-03-28,10,81,309,TRUE,TRUE,7
"Anarsynn",10-07-22,10-07-22,10,10,0,TRUE,FALSE,4
"Anasazi Darkmoon",12-03-14,12-03-14,5,5,0,TRUE,TRUE,9
"andaere",10-12-06,10-12-06,63,63,0,TRUE,TRUE,36
"Andelevion",12-03-23,12-03-23,80,80,0,TRUE,TRUE,5
"Anderfail",10-04-13,10-04-14,15,16,1,TRUE,FALSE,10
"Anderkent",11-09-03,11-09-03,76,76,0,TRUE,TRUE,3
"Andmeuths",10-04-04,10-04-04,10,10,0,TRUE,FALSE,4
"AndR",11-04-13,11-04-13,71,71,0,TRUE,TRUE,52
"Andread",10-12-29,10-12-29,1,1,0,TRUE,TRUE,0
"Andrea Dworkinstein",10-07-19,10-07-19,30,30,0,TRUE,FALSE,0
"Andrew",10-05-11,12-03-24,20,80,683,TRUE,FALSE,5
"andrew",11-07-22,11-07-22,1,1,0,TRUE,TRUE,0
"Andrew B",10-07-05,10-07-05,28,28,0,TRUE,FALSE,1
"AndrewC",11-08-28,11-08-28,74,74,0,TRUE,TRUE,3
"Andrew Conway",10-10-23,10-10-23,51,51,0,TRUE,FALSE,1
"Andrew McDowell",10-07-11,10-07-11,30,30,0,TRUE,FALSE,0
"andrewTHATSME",11-09-13,11-09-17,22,48,4,TRUE,TRUE,2
"Andrius",11-01-11,11-01-26,6,54,15,TRUE,TRUE,7
"andromeda188",11-11-12,11-11-12,15,15,0,TRUE,TRUE,2
"Andromedanaea",11-06-06,12-02-17,22,20,256,TRUE,TRUE,7
"Andronicus",10-10-20,10-10-20,50,50,0,TRUE,FALSE,8
"Andy McKenzie",11-04-24,11-04-24,71,71,0,TRUE,TRUE,52
"Andy Watkins",11-04-07,11-04-07,71,71,0,TRUE,TRUE,52
"anef",10-10-08,10-10-08,49,49,0,TRUE,FALSE,8
"Aneirin Lewis",10-07-30,10-07-30,32,32,0,TRUE,FALSE,6
"anemix",10-08-07,11-02-18,11,39,195,TRUE,FALSE,0
"A new fan",11-01-06,11-01-06,33,33,0,TRUE,TRUE,1
"AnFan-n-More",11-02-22,11-02-23,10,17,1,TRUE,TRUE,8
"Angbard",10-06-10,10-06-10,23,23,0,TRUE,FALSE,4
"angeldreamer1119",10-11-29,10-11-29,34,34,0,TRUE,TRUE,6
"AngelForm",10-03-10,12-12-18,5,86,1014,FALSE,FALSE,5
"Angel Is A Centerfold",10-11-27,12-03-11,62,78,470,TRUE,TRUE,4
"Angelo Pampalone",11-11-25,11-11-25,77,77,0,TRUE,TRUE,187
"angelrock444",12-03-04,12-03-04,77,77,0,TRUE,TRUE,187
